system-html-link,System,Url,PIA or SORN,SORN ID,Categories of Records,Purpose,Retention
<a href='https://www.federalregister.gov/documents/2015/06/04/2015-13701/privacy-act-of-1974-notice-of-an-updated-system-of-records'>GSA's Customer Engagement Organization</a>,GSA's Customer Engagement Organization,https://www.federalregister.gov/documents/2015/06/04/2015-13701/privacy-act-of-1974-notice-of-an-updated-system-of-records,SORN,GSA/CEO-1,Full name,PII used in Salesforce.com to help employees get childcare. ,Kept for 5 years
<a href='https://www.federalregister.gov/documents/2015/06/04/2015-13701/privacy-act-of-1974-notice-of-an-updated-system-of-records'>GSA's Customer Engagement Organization</a>,GSA's Customer Engagement Organization,https://www.federalregister.gov/documents/2015/06/04/2015-13701/privacy-act-of-1974-notice-of-an-updated-system-of-records,SORN,GSA/CEO-1,Personal home or mobile phone,PII used in Salesforce.com to help employees get childcare. ,Kept for 5 years
<a href='https://www.federalregister.gov/documents/2015/06/04/2015-13701/privacy-act-of-1974-notice-of-an-updated-system-of-records'>GSA's Customer Engagement Organization</a>,GSA's Customer Engagement Organization,https://www.federalregister.gov/documents/2015/06/04/2015-13701/privacy-act-of-1974-notice-of-an-updated-system-of-records,SORN,GSA/CEO-1,Personal email addresses,PII used in Salesforce.com to help employees get childcare. ,Kept for 5 years
<a href='https://www.federalregister.gov/documents/2015/06/04/2015-13701/privacy-act-of-1974-notice-of-an-updated-system-of-records'>GSA's Customer Engagement Organization</a>,GSA's Customer Engagement Organization,https://www.federalregister.gov/documents/2015/06/04/2015-13701/privacy-act-of-1974-notice-of-an-updated-system-of-records,SORN,GSA/CEO-1,U.S. citizenship status,PII used in Salesforce.com to help employees get childcare. ,Kept for 5 years
<a href='https://www.federalregister.gov/documents/2015/06/04/2015-13701/privacy-act-of-1974-notice-of-an-updated-system-of-records'>GSA's Customer Engagement Organization</a>,GSA's Customer Engagement Organization,https://www.federalregister.gov/documents/2015/06/04/2015-13701/privacy-act-of-1974-notice-of-an-updated-system-of-records,SORN,GSA/CEO-1,U.S. armed forces veteran status,PII used in Salesforce.com to help employees get childcare. ,Kept for 5 years
<a href='https://www.federalregister.gov/documents/2015/06/04/2015-13701/privacy-act-of-1974-notice-of-an-updated-system-of-records'>GSA's Customer Engagement Organization</a>,GSA's Customer Engagement Organization,https://www.federalregister.gov/documents/2015/06/04/2015-13701/privacy-act-of-1974-notice-of-an-updated-system-of-records,SORN,GSA/CEO-1,Current employer,PII used in Salesforce.com to help employees get childcare. ,Kept for 5 years
<a href='https://www.federalregister.gov/documents/2015/06/04/2015-13701/privacy-act-of-1974-notice-of-an-updated-system-of-records'>GSA's Customer Engagement Organization</a>,GSA's Customer Engagement Organization,https://www.federalregister.gov/documents/2015/06/04/2015-13701/privacy-act-of-1974-notice-of-an-updated-system-of-records,SORN,GSA/CEO-1,Optional links to social networking profiles,PII used in Salesforce.com to help employees get childcare. ,Kept for 5 years
<a href='https://www.federalregister.gov/documents/2015/06/04/2015-13701/privacy-act-of-1974-notice-of-an-updated-system-of-records'>GSA's Customer Engagement Organization</a>,GSA's Customer Engagement Organization,https://www.federalregister.gov/documents/2015/06/04/2015-13701/privacy-act-of-1974-notice-of-an-updated-system-of-records,SORN,GSA/CEO-1,Resume/CV,PII used in Salesforce.com to help employees get childcare. ,Kept for 5 years
<a href='https://www.federalregister.gov/documents/2015/06/04/2015-13701/privacy-act-of-1974-notice-of-an-updated-system-of-records'>GSA's Customer Engagement Organization</a>,GSA's Customer Engagement Organization,https://www.federalregister.gov/documents/2015/06/04/2015-13701/privacy-act-of-1974-notice-of-an-updated-system-of-records,SORN,GSA/CEO-1,Social Security Number,PII used in Salesforce.com to help employees get childcare. ,Kept for 5 years
<a href='https://www.federalregister.gov/documents/2015/06/04/2015-13701/privacy-act-of-1974-notice-of-an-updated-system-of-records'>GSA's Customer Engagement Organization</a>,GSA's Customer Engagement Organization,https://www.federalregister.gov/documents/2015/06/04/2015-13701/privacy-act-of-1974-notice-of-an-updated-system-of-records,SORN,GSA/CEO-1,Grade,PII used in Salesforce.com to help employees get childcare. ,Kept for 5 years
